author_last_name, authors, title
Zafon, Carlos Ruíz Zafon, The Shadow of the Wind
Shaefer, Jack Shaefer, Shane
King, Stephen King, The Shining
Hesse, Hermann Hesse, Siddhartha
Grafton, Sue Grafton, S Is for Silence
Vonnegut, Kurt Vonnegut, Slaughterhouse-Five
Levy, Andrea Levy, Small Island
Hemingway, Ernest Hemingway, Snows of Kilimanjaro
Grimm, Brothers Grimm, Snow White and Rose Red
Moore, Barrington Moore, Social Origins of Dictatorship and Democracy: Lord and Peasant in the Making of the Modern World
Bradbury, Ray Bradbury, Something Wicked This Way Comes
Hornby, Nick Hornby, Songbook
Martin, George R.R. Martin, A Song of Ice and Fire
Lebrecht, Norman Lebrecht, The Song of Names
Tucker, Lisa Tucker, The Song Reader
Burgos, Julia De Burgos, Song of the Simple Truth: The Complete Poems of Julia De Burgos
Browning, Elizabeth Barrett Browning, “Sonnet 43”
Shakespeare, William Shakespeare, The Sonnets
Browning, Elizabeth Barrett Browning, Sonnets from the Portuguese
Styron, William Styron, Sophie’s Choice
Faulkner, William Faulkner, The Sound and the Fury
Nabokov, Vladimir Nabokov, "Speak, Memory"
Levin, Ira Levin, The Stepford Wives
Roach, Mary Roach, Stiff: The Curious Lives of Human Cadavers
Keller, Helen Keller, The Story of My Life
Stevenson, Robert Louis Stevenson, The Strange Case of Dr. Jekyll & Mr. Hyde
Williams, Tennessee Williams, A Streetcar Named Desire
White, E.B. White, Stuart Little
Parker, T. Jefferson Parker, Summer of Fear
Hemingway, Ernest Hemingway, The Sun Also Rises
Proust, Marcel Proust, Swann’s Way
Collett, Anne Collett, "Swimming with Giants: My Encounters with Whales, Dolphins and Seals"
Schreiber, Flora Rheta Schreiber, Sybil
Dickens, Charles Dickens, A Tale of Two Cities
Poe, Edgar Allan Poe, The Tell-Tale Heart
Fitzgerald, F. Scott Fitzgerald, Tender Is the Night
McMurtry, Larry McMurtry, Terms of Endearment
Aleichem, Sholem Aleichem, Tevya the Dairyman and the Railroad Stories
McCoy, Horace McCoy, "They Shoot Horses, Don’t They?"
Hammett, Dashiell Hammett, The Thin Man
Finney, Jack Finney, Time and Again
Niffenegger, Audrey Niffenegger, The Time Traveler’s Wife
Hemingway, Ernest Hemingway, To Have and Have Not
Lee, Harper Lee, To Kill a Mockingbird
Welsh, Irvine Welsh, Trainspotting
Smith, Betty Smith, A Tree Grows in Brooklyn
Kafka, Franz Kafka, The Trial
Robinson, Elisabeth Robinson, The True and Outstanding Adventures of the Hunt Sisters
Patchett, Ann Patchett, Truth & Beauty: A Friendship
Albom, Mitch Albom, Tuesdays with Morrie
Joyce, James Joyce, Ulysses
Plath, Sylvia Plath, The Unabridged Journals of Sylvia Plath
Kundera, Milan Kundera, The Unbearable Lightness of Being
Stowe, Harriet Beecher Stowe, Uncle Tom’s Cabin
Shields, Carol Shields, Unless
Susann, Jacqueline Susann, Valley of the Dolls
Meyers, Philip Meyers, The Vanishing Newspaper
Thackeray, William Makepeace Thackeray, Vanity Fair
Harvard, Joe Harvard, Velvet Underground’s the Velvet Underground and Nico (33 1/3 Book 11)
Eugenides, Jeffrey Eugenides, The Virgin Suicides
Kerouac, Jack Kerouac, Visions of Cody
Beckett, Samuel Beckett, Waiting for Godot
Thoreau, Henry David Thoreau, Walden
Tolstoy, Leo Tolstoy, War and Peace
Sinker, Daniel Sinker, We Owe You Nothing: Punk Planet: The Collected Interviews
Bolles, Richard Nelson Bolles, What Color Is Your Parachute?
Farrell, Henry Farrell, What Happened to Baby Jane?
Otsuka, Julie Otsuka, When the Emperor Was Divine
Johnson, Spencer Johnson, Who Moved My Cheese?
Albee, Edward Albee, Who’s Afraid of Virginia Woolf?
Maguire, Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West
Strayed, Cheryl Strayed, Wild
Updike, John Updike, The Witches of Eastwick
Baum, L. Frank Baum, The Wonderful Wizard of Oz
Brontë, Emily Brontë, Wuthering Heights
Rawlings, Marjorie Kinnan Rawlings, The Yearling
Didion, Joan Didion, The Year of Magical Thinking
Feuerstein, Georg Feuerstein and Larry Payne, Yoga for Dummies
